Код_товара	Название_позиции	Ключевые_слова	Описание	Тип_товара	Цена	Валюта	Единица_измерения	Минимальный_объем_заказа	Оптовая_цена	Минимальный_заказ_опт	Ссылка_изображения	Наличие	Скидка	Производитель	Страна_производитель	Номер_группы	Адрес_подраздела	Идентификатор_товара	Уникальный_идентификатор	Идентификатор_подраздела	Идентификатор_группы
2.10.002	Вентилятор NO FROST 40/45 mm/ D3.2mm, 10W SKL 222FR58		Вентилятор NO FROST 40/45 mm/ D3.2mm, 10W SKL 222FR58	u	325	UAH	шт.	1	220	2		-						2.10.002			
	Винтики и гайки комплект		Винтики и гайки комплект	u	30	UAH	шт.	1	21	2		-									
23.0011	Вставка в ручку Ardo		Вставка в ручку Ardo	u	65	UAH	шт.	1	39	2		+						23.0011			
23.0012	Вставка в ручку Ardo с пружинкой и крючком		Вставка в ручку Ardo с пружинкой и крючком	u	120	UAH	шт.	1	82	2		+						23.0012			
29.002	Втулка 20*25*14 Indesit Ariston		Втулка 20*25*14 Indesit Ariston	u	136	UAH	шт.	1	105	2		+						29.002			
	Втулка 21*25*14		Втулка 21*25*14	u	136	UAH	шт.	1	105	2		-									
29.001	Втулка 25*30*13,5 Indesit Ariston		Втулка 25*30*13,5 Indesit Ariston	u	136	UAH	шт.	1	120	2		+						29.001			
	Втулка 30*35*13,5 Indesit Ariston		Втулка 30*35*13,5 Indesit Ariston	u	120	UAH	шт.	1	120	2		-									
	Втулка 37*40*16 LG		Втулка 37*40*16 LG	u	120	UAH	шт.	1	120	2		-									
4.2.006	Втулка муфта предохранительная на шнек для мясорубки Zelmer 86.1203		Втулка муфта предохранительная на шнек для мясорубки Zelmer 86.1203	u	62	UAH	шт.	1	42	2		+						4.2.006			
4.2.007	Втулка муфта шнека в сборе для мясорубки Kenwood KW715989		Втулка муфта шнека в сборе для мясорубки Kenwood KW715989	u	140	UAH	шт.	1	92	2		+						4.2.007			
4.2.001	Втулка-предохранитель шнека Bosch 418076 (без упаковки)		Втулка-предохранитель шнека Bosch 418076 (без упаковки)	u	122	UAH	шт.	1	85	2		+						4.2.001			
4.2.008	Втулка-предохранитель шнека Skarlett		Втулка-предохранитель шнека Skarlett	u	42	UAH	шт.	1	32	2		-						4.2.008			
4.2.009	Втулка-предохранитель шнека Vitek, Gorenje (не оригинал)		Втулка-предохранитель шнека Vitek, Gorenje (не оригинал)	u	42	UAH	шт.	1	32	2		-						4.2.009			
4.2.002	Втулка-предохранитель шнека Аксион, Бриз, Liberton (не оригинал)		Втулка-предохранитель шнека Аксион, Бриз, Liberton (не оригинал)	u	42	UAH	шт.	1	30	2		+						4.2.002			
4.2.003	Втулка-предохранитель шнека Гамма (не оригинал)		Втулка-предохранитель шнека Гамма (не оригинал)	u	45	UAH	шт.	1	35	2		+						4.2.003			
4.2.004	Втулка-предохранитель шнека для мясорубок Аксион, Бриз, Liberton		Втулка-предохранитель шнека для мясорубок Аксион, Бриз, Liberton	u	75	UAH	шт.	1	52	2		+						4.2.004			
4.2.005	Втулка-предохранитель шнека Эльво		Втулка-предохранитель шнека Эльво	u	48	UAH	шт.	1	32	2		+						4.2.005			
3.3.003	Газовый термостат бойлера 10-75 SANAL		Газовый термостат бойлера 10-75 SANAL	u	263	UAH	шт.	1	200	2		+						3.3.003			
2.3.0002	Датчик оттайки холодильника Samsung DA32-00006W		Датчик оттайки холодильника Samsung DA32-00006W	u	138	UAH	шт.	1	89	2		+						2.3.0002			
2.3.0001	Датчик температуры LG 6615JB2005A		Датчик температуры LG 6615JB2005A	u	140	UAH	шт.	1	140	2		+						2.3.0001			
2.10.003	Двигатель вентилятора для холодильника 8.5W NO FROST MTF705RF2.10.		Двигатель вентилятора для холодильника 8.5W NO FROST MTF705RF2.10.	u	313	UAH	шт.	1	265	2		+						2.10.003			
5.2.004	Диод высоковольтный CL01-12 для микроволновки		Диод высоковольтный CL01-12 для микроволновки	u	26	UAH	шт.	1	19	2		+						5.2.004			
15.001	Завес (петля) люка LG 4774ER2001A		Завес (петля) люка LG 4774ER2001A	u	304	UAH	шт.	1	233	2		-						15.001			
15.002	Завес (петля) люка Samsung DC61-01632A		Завес (петля) люка Samsung DC61-01632A	u	264	UAH	шт.	1	193	2		+						15.002			
5.043	Заглушка отверстия в ТЭНе		Заглушка отверстия в ТЭНе	u	27	UAH	шт.	1	21	2		+						5.043			
6.014	Замок люка Indesit Ariston C00254755		Замок люка Indesit Ariston C00254755	u	506	UAH	шт.	1	418	2		+						6.014			
6.011	Замок (УБЛ) ARDO 651016776		Замок (УБЛ) ARDO 651016776	u	330	UAH	шт.	1	252	2		-						6.011			
6.001	Замок (УБЛ) ARDO SE / Whirlpool		Замок (УБЛ) ARDO SE / Whirlpool	u	225	UAH	шт.	1	175	2		+						6.001			
6.002	Замок (УБЛ) Ardo TL		Замок (УБЛ) Ardo TL	u	296	UAH	шт.	1	244	2		+						6.002			
6.017	Замок (УБЛ) Beko 2805310100 (Metalflex ZV-446)		Замок (УБЛ) Beko 2805310100 (Metalflex ZV-446)	u	240	UAH	шт.	1	181	2		+						6.017			
6.023	Замок (УБЛ) Beko 2805311400		Замок (УБЛ) Beko 2805311400	u	225	UAH	шт.	1	155	2		+						6.023			
6.012	Замок (УБЛ) BOSCH 421470		Замок (УБЛ) BOSCH 421470	u	430	UAH	шт.	1	344	2		+						6.012			
6.003	Замок (УБЛ) Electrolux 124967514		Замок (УБЛ) Electrolux 124967514	u	357	UAH	шт.	1	294	2		+						6.003			
6.020	Замок (УБЛ) Electrolux 1461174045		Замок (УБЛ) Electrolux 1461174045	u	474	UAH	шт.	1	391	2		-						6.020			
6.015	Замок (УБЛ) Electrolux Zanussi 1321009027		Замок (УБЛ) Electrolux Zanussi 1321009027	u	270	UAH	шт.	1	211	2		+						6.015			
6.004	Замок (УБЛ) Gorenje 170966		Замок (УБЛ) Gorenje 170966	u	209	UAH	шт.	1	180	2		+						6.004			
6.022	Замок (УБЛ) Indesit Ariston C00011140		Замок (УБЛ) Indesit Ariston C00011140	u	245	UAH	шт.	1	182	2		+						6.022			
6.016	Замок(УБЛ)Indesit.Ariston C00085194(Metaltlex ZV-446)		Замок(УБЛ)Indesit.Ariston C00085194(Metaltlex ZV-446)	u	205	UAH	шт.	1	157	2		+						6.016			
6.005	Замок (УБЛ) Indesit, Atriston C00085194		Замок (УБЛ) Indesit, Atriston C00085194	u	215	UAH	шт.	1	160	2		+						6.005			
6.013	Замок (УБЛ) Indesit C00297327 ROLD DM066		Замок (УБЛ) Indesit C00297327 ROLD DM066	u	203	UAH	шт.	1	150	2		+						6.013			
6.006	замок (УБЛ) LG		замок (УБЛ) LG	u	240	UAH	шт.	1	188	2		+						6.006			
6.007	Замок (УБЛ) LG EBF49827803		Замок (УБЛ) LG EBF49827803	u	465	UAH	шт.	1	429	2		+						6.007			
6.018	Замок (УБЛ) LG правый ROLD DA081045		Замок (УБЛ) LG правый ROLD DA081045	u	214	UAH	шт.	1	176	2		+						6.018			
6.019	Замок (УБЛ) Samsung DC64-01538A		Замок (УБЛ) Samsung DC64-01538A	u	279	UAH	шт.	1	230	2		-						6.019			
6.008	замок (УБЛ) Samsung (Metalflex ZV-446)		замок (УБЛ) Samsung (Metalflex ZV-446)	u	196	UAH	шт.	1	161	2		+						6.008			
6.009	Замок (УБЛ) Samsung старого образца		Замок (УБЛ) Samsung старого образца	u	340	UAH	шт.	1	263	2		+						6.009			
6.021	Замок (УБЛ) TL EVOII ARISTON MERLONI INDESIT C00111494		Замок (УБЛ) TL EVOII ARISTON MERLONI INDESIT C00111494	u	310	UAH	шт.	1	234	2		+						6.021			
6.024	Замок (УБЛ) Атлант 50c102-0006.024		Замок (УБЛ) Атлант 50c102-0006.024	u	195	UAH	шт.	1	130	2		+						6.024			
6.010	Замок (УБЛ) для Стиральной машины Candy 41016879		Замок (УБЛ) для Стиральной машины Candy 41016879	u	242	UAH	шт.	1	198	2		+						6.010			
	Импеллер (нижний) Beko 1744400200		Импеллер (нижний) Beko 1744400200	u	210	UAH	шт.	1	120	2		-									
