Код_товара	Название_позиции	Ключевые_слова	Описание	Тип_товара	Цена	Валюта	Единица_измерения	Минимальный_объем_заказа	Оптовая_цена	Минимальный_заказ_опт	Ссылка_изображения	Наличие	Скидка	Производитель	Страна_производитель	Номер_группы	Адрес_подраздела	Идентификатор_товара	Уникальный_идентификатор	Идентификатор_подраздела	Идентификатор_группы
2.001	Насос на 3 самореза (типа Plaset) фишка спаренная сзади.		Насос на 3 самореза (типа Plaset) фишка спаренная сзади.	u	322	UAH	шт.	1	258	2		+						2.001			
2.019	Насос (помпа) 30W на 3 защелках клеммы сзади раздельно HANYU B20-6AZC		Насос (помпа) 30W на 3 защелках клеммы сзади раздельно HANYU B20-6AZC	u	265	UAH	шт.	1	217	2		+						2.019			
2.015	Насос (помпа) 30W на 3 защелках клемы сзади слитно HANYU B20-6AZC		Насос (помпа) 30W на 3 защелках клемы сзади слитно HANYU B20-6AZC	u	283	UAH	шт.	1	232	2		+						2.015			
2.021	Насос (помпа) 40W на 3 саморезах клеми раздельно сзади HANYU B15-6A		Насос (помпа) 40W на 3 саморезах клеми раздельно сзади HANYU B15-6A	u	235	UAH	шт.	1	157	2		+						2.021			
2.016	Насос (помпа) Ardo на 8 защелках клемы раздельно		Насос (помпа) Ardo на 8 защелках клемы раздельно	u	349	UAH	шт.	1	287	2		-						2.016			
2.002	Насос (помпа) Ardo на 8 защелках клемы слитно сзади		Насос (помпа) Ardo на 8 защелках клемы слитно сзади	u	352	UAH	шт.	1	276	2		+						2.002			
2.011	Насос (помпа) Ardo на 8 защелках клемы слитно сзади (Китай)		Насос (помпа) Ardo на 8 защелках клемы слитно сзади (Китай)	u	247	UAH	шт.	1	188	2		-						2.011			
2.012	Насос (помпа) ARDO с корпусом на 8 защелок		Насос (помпа) ARDO с корпусом на 8 защелок	u	379	UAH	шт.	1	312	2		+						2.012			
2.010	Насос (помпа) Askoll 40W (Китай)		Насос (помпа) Askoll 40W (Китай)	u	220	UAH	шт.	1	164	2		-						2.010			
2.014	Насос (помпа) Askoll 40W клемы сзади слитно (Китай)		Насос (помпа) Askoll 40W клемы сзади слитно (Китай)	u	247	UAH	шт.	1	196	2		+						2.014			
2.003	Насос (помпа) Askoll mod. M224XP/M231XP		Насос (помпа) Askoll mod. M224XP/M231XP	u	281	UAH	шт.	1	211	2		+						2.003			
2.004	Насос (помпа) Askoll Mod. M332 (алюминиевая катушка)		Насос (помпа) Askoll Mod. M332 (алюминиевая катушка)	u	255	UAH	шт.	1	191	2		+						2.004			
2.007	Насос (помпа) Askoll Mod. R050 / M220/ M221		Насос (помпа) Askoll Mod. R050 / M220/ M221	u	362	UAH	шт.	1	279	2		+						2.007			
2.005	Насос (помпа) Askoll Type. M114/M239		Насос (помпа) Askoll Type. M114/M239	u	337	UAH	шт.	1	277	2		+						2.005			
2.006	Насос (помпа) Askoll Type.M278 со спаренной фишкой		Насос (помпа) Askoll Type.M278 со спаренной фишкой	u	325	UAH	шт.	1	248	2		+						2.006			
2.008	Насос (помпа) Askoll Type.M50/M221		Насос (помпа) Askoll Type.M50/M221	u	383	UAH	шт.	1	284	2		+						2.008			
2.009	Насос (помпа) Copreci на 4-х защелках, клемы слитно спереди.		Насос (помпа) Copreci на 4-х защелках, клемы слитно спереди.	u	556	UAH	шт.	1	423	2		+						2.009			
2.020	Насос (помпа) LEILI на 3 защелки клемы расдельно сзади		Насос (помпа) LEILI на 3 защелки клемы расдельно сзади	u	293	UAH	шт.	1	237	2		+						2.020			
2.018	Насос (помпа) Samsung с корпусом Китай		Насос (помпа) Samsung с корпусом Китай	u	428	UAH	шт.	1	353	2		+						2.018			
2.013	Насос (помпа) на 3 защелках клемы слитно спереди (Китай)		Насос (помпа) на 3 защелках клемы слитно спереди (Китай)	u	255	UAH	шт.	1	203	2		+						2.013			
	Нож в чашу 500ml для блендера Braun 67050141		Нож в чашу 500ml для блендера Braun 67050141	u	272	UAH	шт.	1	224	2		-									
20.0001	Ножка в сборе LG AFC72909501		Ножка в сборе LG AFC72909501	u	125	UAH	шт.	1	125	2		-						20.0001			
20.0002	Ножка универсальная М10*1.5 (нормальный шаг) диаметр 40мм		Ножка универсальная М10*1.5 (нормальный шаг) диаметр 40мм	u	35	UAH	шт.	1	22	2		+						20.0002			
	Обечайка дверки (люка) наружная Bosch 673908		Обечайка дверки (люка) наружная Bosch 673908	u	1216	UAH	шт.	1	1001	2		-									
21.0002	Патрубок Samsung от порошкоприемника к баку		Патрубок Samsung от порошкоприемника к баку	u	190	UAH	шт.	1	135	2		+						21.0002			
21.0001	Патрубок Samsung от порошкоприемника к баку DC67-00334A		Патрубок Samsung от порошкоприемника к баку DC67-00334A	u	146	UAH	шт.	1	112	2		-						21.0001			
21.0005	Патрубок для отвода воздуха Samsung DC67-00205A		Патрубок для отвода воздуха Samsung DC67-00205A	u	223	UAH	шт.	1	183	2		+						21.0005			
	Патрубок от бака к насосу Bosch Siemens 484193		Патрубок от бака к насосу Bosch Siemens 484193	u	663	UAH	шт.	1	546	2		-									
21.0004	Патрубок «САТУРН» длинный (прозрачный)		Патрубок «САТУРН» длинный (прозрачный)	u	54	UAH	шт.	1	38	2		+						21.0004			
29.001	Подставка-амортизатор под стиральную машинку SKL		Подставка-амортизатор под стиральную машинку SKL	u	120	UAH	шт.	1	82	2		+						29.001			
3.043	Подшипник 102 2RS ZKL(Чехия)		Подшипник 102 2RS ZKL(Чехия)	u	82	UAH	шт.	1	65	2		+						3.043			
3.055	Подшипник 201 2RS ZKL (Чехия)		Подшипник 201 2RS ZKL (Чехия)	u	66	UAH	шт.	1	55	2		+						3.055			
3.039	Подшипник 202 ZZ INA (Германия)		Подшипник 202 ZZ INA (Германия)	u	65	UAH	шт.	1	58	2		+						3.039			
3.041	Подшипник 203 ZZ ZKL (Чехия)		Подшипник 203 ZZ ZKL (Чехия)	u	85	UAH	шт.	1	68	2		+						3.041			
3.042	Подшипник 204 ZZ ZKL (Чехия)		Подшипник 204 ZZ ZKL (Чехия)	u	90	UAH	шт.	1	85	2		+						3.042			
3.030	Подшипник 208 2RS ZKL (Чехия)		Подшипник 208 2RS ZKL (Чехия)	u	196	UAH	шт.	1	150	2		-						3.030			
3.036	Подшипник 208 ZZ ZKL (Чехия)		Подшипник 208 ZZ ZKL (Чехия)	u	250	UAH	шт.	1	190	2		+						3.036			
3.054	Подшипник 305 2RS ZKL (Чехия)		Подшипник 305 2RS ZKL (Чехия)	u	155	UAH	шт.	1	127	2		+						3.054			
3.035	Подшипник 306 2RS ZKL (Чехия)		Подшипник 306 2RS ZKL (Чехия)	u	260	UAH	шт.	1	175	2		+						3.035			
3.038	Подшипник 306 ZZ ZKL (Чехия)		Подшипник 306 ZZ ZKL (Чехия)	u	240	UAH	шт.	1	145	2		+						3.038			
3.050	Подшипник 307 2RS ZKL (Чехия)		Подшипник 307 2RS ZKL (Чехия)	u	241	UAH	шт.	1	199	2		+						3.050			
3.037	Подшипник 307 ZZ ZKL (Чехия)		Подшипник 307 ZZ ZKL (Чехия)	u	270	UAH	шт.	1	195	2		+						3.037			
3.052	Подшипник 6000 JUF		Подшипник 6000 JUF	u	44	UAH	шт.	1	33	2		-						3.052			
3.051	Подшипник 608 2RS ZKL (Чехия)		Подшипник 608 2RS ZKL (Чехия)	u	55	UAH	шт.	1	40	2		+						3.051			
3.053	Подшипник 608 ZZ ZKL (Чехия)		Подшипник 608 ZZ ZKL (Чехия)	u	39	UAH	шт.	1	32	2		+						3.053			
3.001	Подшипник PPL 201 zz (ISKRA Польша)		Подшипник PPL 201 zz (ISKRA Польша)	u	77	UAH	шт.	1	59	2		+						3.001			
3.002	Подшипник PPL 202 zz (ISKRA Польша)		Подшипник PPL 202 zz (ISKRA Польша)	u	80	UAH	шт.	1	66	2		+						3.002			
3.003	Подшипник PPL 203 zz (ISKRA Польша)		Подшипник PPL 203 zz (ISKRA Польша)	u	85	UAH	шт.	1	66	2		+						3.003			
3.004	Подшипник PPL 204 zz (ISKRA Польша)		Подшипник PPL 204 zz (ISKRA Польша)	u	90	UAH	шт.	1	70	2		+						3.004			
3.005	Подшипник PPL205 zz (ISKRA Польша)		Подшипник PPL205 zz (ISKRA Польша)	u	105	UAH	шт.	1	82	2		+						3.005			
3.006	подшипник PPL206 zz (ISKRA Польша)		подшипник PPL206 zz (ISKRA Польша)	u	135	UAH	шт.	1	106	2		+						3.006			
3.029	Подшипник PPL 304 zz (ISKRA Польша)		Подшипник PPL 304 zz (ISKRA Польша)	u	138	UAH	шт.	1	113	2		+						3.029			
3.007	Подшипник PPL 305 zz (ISKRA Польша)		Подшипник PPL 305 zz (ISKRA Польша)	u	205	UAH	шт.	1	164	2		-						3.007			
3.008	Подшипник SKF 201 zz		Подшипник SKF 201 zz	u	88	UAH	шт.	1	68	2		-						3.008			
3.032	Подшипник SKF 201 zz (фирменная упаковка)		Подшипник SKF 201 zz (фирменная упаковка)	u	75	UAH	шт.	1	62	2		+						3.032			
3.009	Подшипник SKF 202 zz		Подшипник SKF 202 zz	u	90	UAH	шт.	1	87	2		+						3.009			
3.033	Подшипник SKF 202 zz (фирменная упакоковка)		Подшипник SKF 202 zz (фирменная упакоковка)	u	90	UAH	шт.	1	87	2		+						3.033			
3.010	Подшипник SKF 203 zz		Подшипник SKF 203 zz	u	92	UAH	шт.	1	88	2		+						3.010			
3.028	Подшипник SKF 203 zz (оригенальная упаковка)		Подшипник SKF 203 zz (оригенальная упаковка)	u	98	UAH	шт.	1	88	2		+						3.028			
3.011	Подшипник SKF 204zz		Подшипник SKF 204zz	u	115	UAH	шт.	1	95	2		+						3.011			
3.031	Подшипник SKF 204 zz (фирменная упаковка)		Подшипник SKF 204 zz (фирменная упаковка)	u	115	UAH	шт.	1	95	2		+						3.031			
3.056	Подшипник SKF 205 2RS Original		Подшипник SKF 205 2RS Original	u	165	UAH	шт.	1	118	2		+						3.056			
3.012	подшипник SKF 205zz		подшипник SKF 205zz	u	132	UAH	шт.	1	104	2		+						3.012			
3.044	Подшипник SKF 205 zz (фирменная упаковка)		Подшипник SKF 205 zz (фирменная упаковка)	u	145	UAH	шт.	1	105	2		+						3.044			
3.013	Подшипник SKF 206 zz		Подшипник SKF 206 zz	u	175	UAH	шт.	1	139	2		+						3.013			
3.027	Подшипник SKF 206 zz (Оригинальная упаковка)		Подшипник SKF 206 zz (Оригинальная упаковка)	u	181	UAH	шт.	1	138	2		+						3.027			
3.049	Подшипник SKF 207 zz Original		Подшипник SKF 207 zz Original	u	264	UAH	шт.	1	225	2		+						3.049			
3.045	Подшипник SKF 304 zz		Подшипник SKF 304 zz	u	170	UAH	шт.	1	134	2		-						3.045			
3.026	Подшипник SKF 304 zz (фирменная упаковка)		Подшипник SKF 304 zz (фирменная упаковка)	u	136	UAH	шт.	1	104	2		-						3.026			
3.014	Подшипник SKF 305zz		Подшипник SKF 305zz	u	218	UAH	шт.	1	179	2		-						3.014			
3.040	Подшипник SKF 305 zz (фирменная упоковка)		Подшипник SKF 305 zz (фирменная упоковка)	u	225	UAH	шт.	1	180	2		+						3.040			
3.015	Подшипник SKF 306zz		Подшипник SKF 306zz	u	286	UAH	шт.	1	237	2		+						3.015			
3.025	Подшипник SKF 306 zz (фирменная упаковка)		Подшипник SKF 306 zz (фирменная упаковка)	u	265	UAH	шт.	1	203	2		+						3.025			
3.034	Подшипник SKF 608 zz (фирменная упаковка)		Подшипник SKF 608 zz (фирменная упаковка)	u	70	UAH	шт.	1	62	2		+						3.034			
3.016	Подшипник SKF 6208-2z закрытый с двух сторон		Подшипник SKF 6208-2z закрытый с двух сторон	u	429	UAH	шт.	1	380	2		+						3.016			
3.017	Подшипник SKL 202 zz		Подшипник SKL 202 zz	u	35	UAH	шт.	1	22	2		+						3.017			
3.018	Подшипник SKL 203 zz		Подшипник SKL 203 zz	u	39	UAH	шт.	1	25	2		+						3.018			
3.019	подшипник SKL 204 zz		подшипник SKL 204 zz	u	62	UAH	шт.	1	47	2		+						3.019			
3.020	Подшипник SKL 205 zz		Подшипник SKL 205 zz	u	72	UAH	шт.	1	52	2		+						3.020			
3.021	Подшипник SKL 206 zz		Подшипник SKL 206 zz	u	94	UAH	шт.	1	63	2		+						3.021			
3.048	Подшипник SKL 207 zz		Подшипник SKL 207 zz	u	115	UAH	шт.	1	82	2		+						3.048			
3.022	Подшипник SKL 305 zz		Подшипник SKL 305 zz	u	108	UAH	шт.	1	80	2		+						3.022			
3.024	Подшипник SKL 306 zz		Подшипник SKL 306 zz	u	135	UAH	шт.	1	105	2		+						3.024			
3.023	Подшипник двухрядный BA2B 633667 BB SKF		Подшипник двухрядный BA2B 633667 BB SKF	u	455	UAH	шт.	1	435	2		+						3.023			
2.2.001	Позисторное реле универсальное PTC 1/12-1/2Hp		Позисторное реле универсальное PTC 1/12-1/2Hp	u	134	UAH	шт.	1	111	2		+						2.2.001			
29.002	Порошок для снятия накипи Indesit (пачка 10пак.)		Порошок для снятия накипи Indesit (пачка 10пак.)	u	199	UAH	шт.	1	151	2		-						29.002			
29.003	Порошок для снятия накипи Indesit пачка 50 гр.		Порошок для снятия накипи Indesit пачка 50 гр.	u	25	UAH	шт.	1	14	2		-						29.003			
5.2.003	Предохранитель высоковольтный 0.85A 5kV		Предохранитель высоковольтный 0.85A 5kV	u	28	UAH	шт.	1	22	2		-						5.2.003			
5.2.005	Предохранитель высоковольтный 0.8A 5kV		Предохранитель высоковольтный 0.8A 5kV	u	30	UAH	шт.	1	23	2		+						5.2.005			
16.0001	Прессостат Indesit C00143370		Прессостат Indesit C00143370	u	550	UAH	шт.	1	434	2		-						16.0001			
16.0003	Прессостат (датчик уровня воды) Indesit Ariston C00111493		Прессостат (датчик уровня воды) Indesit Ariston C00111493	u	276	UAH	шт.	1	244	2		+						16.0003			
16.0004	Прессостат (датчик уровня воды) Indesit C00110332		Прессостат (датчик уровня воды) Indesit C00110332	u	254	UAH	шт.	1	148	2		+						16.0004			
16.0002	Прессостат (датчик уровня воды) Indesit C00145174		Прессостат (датчик уровня воды) Indesit C00145174	u	260	UAH	шт.	1	260	2		-						16.0002			
2.6.001	Припой для алюминия FILALU 1192 NC		Припой для алюминия FILALU 1192 NC	u	26	UAH	шт.	1	21	2		+						2.6.001			
2.6.002	Припой для меди с флюсом O2,5мм		Припой для меди с флюсом O2,5мм	u	24	UAH	шт.	1	21	2		+						2.6.002			
13.0004	Программатор USBDM		Программатор USBDM	u	510	UAH	шт.	1	510	2		+						13.0004			
3.5.003	Прокладка бойлера (силиконовая) Thermex 819993		Прокладка бойлера (силиконовая) Thermex 819993	u	25	UAH	шт.	1	18	2		+						3.5.003			
3.5.004	Прокладка бойлера (силиконовая) под фланец 60мм		Прокладка бойлера (силиконовая) под фланец 60мм	u	45	UAH	шт.	1	35	2		+						3.5.004			
3.5.006	Прокладка на большой овальный фланец бойлера Ariston (силиконовая)		Прокладка на большой овальный фланец бойлера Ariston (силиконовая)	u	45	UAH	шт.	1	37	2		+						3.5.006			
3.5.009	Прокладка на маленький овальный фланец бойлера Ariston (не оригинал)		Прокладка на маленький овальный фланец бойлера Ariston (не оригинал)	u	42	UAH	шт.	1	36	2		+						3.5.009			
3.5.001	Прокладка под фланец бойлера 127мм		Прокладка под фланец бойлера 127мм	u	40	UAH	шт.	1	25	2		+						3.5.001			
3.5.011	Прокладка под фланец бойлера Gorenje (не оригинал)		Прокладка под фланец бойлера Gorenje (не оригинал)	u	50	UAH	шт.	1	30	2		+						3.5.011			
3.5.012	Прокладка под фланец бойлера диаметр 110мм		Прокладка под фланец бойлера диаметр 110мм	u	45	UAH	шт.	1	25	2		+						3.5.012			
3.5.008	Прокладка под фланец бойлера со смещенным центром		Прокладка под фланец бойлера со смещенным центром	u	42	UAH	шт.	1	30	2		+						3.5.008			
3.5.007	Прокладка под фланец бойлера со смещенным центром диаметром 115 мм.		Прокладка под фланец бойлера со смещенным центром диаметром 115 мм.	u	45	UAH	шт.	1	35	2		+						3.5.007			
3.5.010	Прокладка сплошная на большой овальный фланец бойлера Ariston (не оригинал)		Прокладка сплошная на большой овальный фланец бойлера Ariston (не оригинал)	u	45	UAH	шт.	1	27	2		+						3.5.010			
	Прокладка тена бойлера Tatramat 71831 d110mm?D135mm		Прокладка тена бойлера Tatramat 71831 d110mm?D135mm	u	120	UAH	шт.	1	70	2		-									
3.5.002	Прокладка фланца бойлера диаметр 102мм		Прокладка фланца бойлера диаметр 102мм	u	44	UAH	шт.	1	37	2		+						3.5.002			
3.5.005	Прокладка фланца бойлера диаметр 133мм		Прокладка фланца бойлера диаметр 133мм	u	45	UAH	шт.	1	32	2		+						3.5.005			
8.0011	Прокладка шланга с сеточкой.		Прокладка шланга с сеточкой.	u	28	UAH	шт.	1	20	2		+						8.0011			
13.006	Процессор ARDO MC908JL8CDWE		Процессор ARDO MC908JL8CDWE	u	150	UAH	шт.	1	120	2		+						13.006			
13.004	Процессор MC9S08AW60 на СМА ZANUSSI ELECTROLUX (EWM1100, EWM2100 и др) чистый		Процессор MC9S08AW60 на СМА ZANUSSI ELECTROLUX (EWM1100, EWM2100 и др) чистый	u	250	UAH	шт.	1	250	2		+						13.004			
13.005	Процессор MC9S08AС60 на СМА ZANUSSI ELECTROLUX чистый		Процессор MC9S08AС60 на СМА ZANUSSI ELECTROLUX чистый	u	250	UAH	шт.	1	250	2		+						13.005			
22.0001	Пружина бака Samsung (5,2 кг.) DC61-01280A		Пружина бака Samsung (5,2 кг.) DC61-01280A	u	80	UAH	шт.	1	68	2		-						22.0001			
22.0002	Пружина бака Samsung DC61-00441A		Пружина бака Samsung DC61-00441A	u	72	UAH	шт.	1	55	2		+						22.0002			
4.0008	Ребро(Активатор) в барабан Indesit Ariston C00097565 original		Ребро(Активатор) в барабан Indesit Ariston C00097565 original	u	153	UAH	шт.	1	126	2		+						4.0008			
4.0003	Ребро (Активатор) в барабан Indesit с верхн. загрузкой. С грузом		Ребро (Активатор) в барабан Indesit с верхн. загрузкой. С грузом	u	298	UAH	шт.	1	228	2		-						4.0003			
4.0005	Ребро барабана для стиральной машины L=188 мм Zanussi		Ребро барабана для стиральной машины L=188 мм Zanussi	u	247	UAH	шт.	1	189	2		-						4.0005			
2.9.003	Резина двери холодильной камеры Indesit C00854009		Резина двери холодильной камеры Indesit C00854009	u	633	UAH	шт.	1	578	2		-						2.9.003			
	Резина двери холодильной камеры Snaige V372.100-03 Original		Резина двери холодильной камеры Snaige V372.100-03 Original	u	609	UAH	шт.	1	501	2		-									
12.001	Резина (манжета) люка Bosch Simense 354135 не оригинал		Резина (манжета) люка Bosch Simense 354135 не оригинал	u	372	UAH	шт.	1	315	2		+						12.001			
12.003	Резина (манжета) люка Samsung DC64-01664A		Резина (манжета) люка Samsung DC64-01664A	u	685	UAH	шт.	1	524	2		-						12.003			
12.002	Резина (манжет) люка 4986ER1004A LG с прямым приводом (не оригинал)		Резина (манжет) люка 4986ER1004A LG с прямым приводом (не оригинал)	u	490	UAH	шт.	1	391	2		+						12.002			
12.017	Резина (манжет) люка Ardo 651008693 (не оригинал)		Резина (манжет) люка Ardo 651008693 (не оригинал)	u	420	UAH	шт.	1	323	2		-						12.017			
12.004	Резина (манжет) люка Ardo 651008698 не оригинал		Резина (манжет) люка Ardo 651008698 не оригинал	u	442	UAH	шт.	1	338	2		+						12.004			
12.005	Резина (манжет) люка Ardo 651008706 не оригинал		Резина (манжет) люка Ardo 651008706 не оригинал	u	612	UAH	шт.	1	468	2		-						12.005			
12.019	Резина (манжет) люка Bosch 366498 (не оригинал)		Резина (манжет) люка Bosch 366498 (не оригинал)	u	765	UAH	шт.	1	630	2		-						12.019			
12.011	Резина (манжет) люка Bosch CLASSIXX 5 MAXX4		Резина (манжет) люка Bosch CLASSIXX 5 MAXX4	u	428	UAH	шт.	1	353	2		+						12.011			
12.013	Резина (манжет) люка Indesit Ariston C00094093		Резина (манжет) люка Indesit Ariston C00094093	u	970	UAH	шт.	1	872	2		+						12.013			
12.016	Резина (манжет) люка Indesit Ariston C00110330 Original		Резина (манжет) люка Indesit Ariston C00110330 Original	u	535	UAH	шт.	1	469	2		+						12.016			
12.015	Резина (манжет) люка Indesit Ariston C00110330 (не оригинал)		Резина (манжет) люка Indesit Ariston C00110330 (не оригинал)	u	406	UAH	шт.	1	335	2		-						12.015			
12.009	Резина (манжет) люка Indesit C00118008 Original		Резина (манжет) люка Indesit C00118008 Original	u	610	UAH	шт.	1	584	2		-						12.009			
12.018	Резина (манжет) люка Indesit C00118008 (не оригинал)		Резина (манжет) люка Indesit C00118008 (не оригинал)	u	417	UAH	шт.	1	343	2		+						12.018			
12.006	Резина (манжет) люка Indesit WISE		Резина (манжет) люка Indesit WISE	u	695	UAH	шт.	1	694	2		-						12.006			
12.008	Резина (манжет) люка Indesit WIXL		Резина (манжет) люка Indesit WIXL	u	624	UAH	шт.	1	514	2		-						12.008			
12.012	Резина (манжет) люка Indesit WIXL (не оригинал)		Резина (манжет) люка Indesit WIXL (не оригинал)	u	488	UAH	шт.	1	388	2		+						12.012			
12.007	Резина (манжет) люка LG MDS61952202		Резина (манжет) люка LG MDS61952202	u	1178	UAH	шт.	1	901	2		-						12.007			
12.010	Резина (манжет) люка Samsung DC64-01664A (не оригинал)		Резина (манжет) люка Samsung DC64-01664A (не оригинал)	u	680	UAH	шт.	1	549	2		-						12.010			
12.020	Резина (манжет) люка Whirlpool 481246068617		Резина (манжет) люка Whirlpool 481246068617	u	600	UAH	шт.	1	560	2		-						12.020			
12.014	Резина (манжет) люка Атлант 908092000520		Резина (манжет) люка Атлант 908092000520	u	1074	UAH	шт.	1	885	2		+						12.014			
	Резина (манжет) люка совместимая с Bosch 443455		Резина (манжет) люка совместимая с Bosch 443455	u	532	UAH	шт.	1	438	2		-									
2.2.002	Реле ALE 15B12		Реле ALE 15B12	u	115	UAH	шт.	1	105	2		+						2.2.002			
3.3.004	Реле HF115FK-T		Реле HF115FK-T	u	85	UAH	шт.	1	65	2		+						3.3.004			
2.2.009	Реле Nord ПЗР00-0,9		Реле Nord ПЗР00-0,9	u	120	UAH	шт.	1	88	2		-						2.2.009			
2.2.010	Реле Nord ПЗР-03 (0,9А)		Реле Nord ПЗР-03 (0,9А)	u	138	UAH	шт.	1	105	2		+						2.2.010			
2.2.004	Реле пусковое Danfoss 103N0021		Реле пусковое Danfoss 103N0021	u	125	UAH	шт.	1	87	2		+						2.2.004			
2.2.003	Реле пусковое MPV 1.4A (Ужгород)		Реле пусковое MPV 1.4A (Ужгород)	u	131	UAH	шт.	1	112	2		-						2.2.003			
2.2.008	Реле пусковое Атлант РТК-2 (Белоруссия)		Реле пусковое Атлант РТК-2 (Белоруссия)	u	148	UAH	шт.	1	122	2		+						2.2.008			
2.2.005	Реле пусковое РТК-2		Реле пусковое РТК-2	u	137	UAH	шт.	1	106	2		+						2.2.005			
2.2.007	Реле пусковое РТК-Х(М) (белое)		Реле пусковое РТК-Х(М) (белое)	u	146	UAH	шт.	1	118	2		-						2.2.007			
2.2.006	Реле пусковое РТК-Х(М) (черное)		Реле пусковое РТК-Х(М) (черное)	u	165	UAH	шт.	1	132	2		+						2.2.006			
	Реле тепловое с термопредохранителем Indesit C00276886		Реле тепловое с термопредохранителем Indesit C00276886	u	284	UAH	шт.	1	234	2		-									
	Ремень 1023 H7 EL «Hutchinson» черный		Ремень 1023 H7 EL «Hutchinson» черный	u	165	UAH	шт.	1	136	2		-									
11.010	Ремень 1023 H7 EL «Megadyne» черный		Ремень 1023 H7 EL «Megadyne» черный	u	165	UAH	шт.	1	140	2		+						11.010			
11.056	Ремень 1023 H7 EL «Optibelt» черный		Ремень 1023 H7 EL «Optibelt» черный	u	194	UAH	шт.	1	160	2		+						11.056			
11.060	Ремень 1046 H7 EL «Hutchitson» черный		Ремень 1046 H7 EL «Hutchitson» черный	u	190	UAH	шт.	1	132	2		+						11.060			
11.055	Ремень 1067 H7 EL «Hutchinson» черный		Ремень 1067 H7 EL «Hutchinson» черный	u	178	UAH	шт.	1	127	2		+						11.055			
11.020	Ремень 1105 J4 EL «Megadyne» желтый		Ремень 1105 J4 EL «Megadyne» желтый	u	148	UAH	шт.	1	111	2		+						11.020			
	Ремень 1120 H7 EL; Hutchinson, черный		Ремень 1120 H7 EL; Hutchinson, черный	u	185	UAH	шт.	1	145	2		-									
11.064	Ремень 1145 H5 EL «Hutchinson» черный		Ремень 1145 H5 EL «Hutchinson» черный	u	170	UAH	шт.	1	122	2		+						11.064			
11.059	Ремень 1145 H5 «Optibelt» черный		Ремень 1145 H5 «Optibelt» черный	u	109	UAH	шт.	1	90	2		+						11.059			
11.036	Ремень 1150 H7 EL «Hutchinson» черный		Ремень 1150 H7 EL «Hutchinson» черный	u	190	UAH	шт.	1	155	2		-						11.036			
11.051	Ремень 1151 H7 EL «Hutchinson» черный		Ремень 1151 H7 EL «Hutchinson» черный	u	185	UAH	шт.	1	115	2		+						11.051			
11.045	Ремень 1161 J5 EL «Optibelt» черный		Ремень 1161 J5 EL «Optibelt» черный	u	194	UAH	шт.	1	142	2		+						11.045			
11.001	Ремень 1173 J5 EL «Megadyne» черный		Ремень 1173 J5 EL «Megadyne» черный	u	180	UAH	шт.	1	130	2		+						11.001			
11.025	Ремень 1181 H7 EL «Hutchinson» черный		Ремень 1181 H7 EL «Hutchinson» черный	u	190	UAH	шт.	1	144	2		+						11.025			
11.047	Ремень 1181 H8 EL «Hutchinson» черный		Ремень 1181 H8 EL «Hutchinson» черный	u	185	UAH	шт.	1	138	2		+						11.047			
11.049	Ремень 1192 J3 EL «Megadyne» желтый		Ремень 1192 J3 EL «Megadyne» желтый	u	145	UAH	шт.	1	112	2		+						11.049			
11.032	Ремень 1194 J5 EL «Megadyne» желтый		Ремень 1194 J5 EL «Megadyne» желтый	u	210	UAH	шт.	1	162	2		+						11.032			
11.002	Ремень 1194 J5 «Hutchinson»		Ремень 1194 J5 «Hutchinson»	u	165	UAH	шт.	1	127	2		-						11.002			
11.023	Ремень 1195 H7 EL «Hutchinson» черный для стиральной машины		Ремень 1195 H7 EL «Hutchinson» черный для стиральной машины	u	192	UAH	шт.	1	142	2		+						11.023			
11.026	Ремень 1195 H8 EL «Hutchinson» черный		Ремень 1195 H8 EL «Hutchinson» черный	u	192	UAH	шт.	1	148	2		+						11.026			
11.035	Ремень 1197 J5 EL «Megadyne» желтый		Ремень 1197 J5 EL «Megadyne» желтый	u	175	UAH	шт.	1	142	2		+						11.035			
11.013	Ремень 1197 J5 EL «Optibelt» черный		Ремень 1197 J5 EL «Optibelt» черный	u	214	UAH	шт.	1	176	2		-						11.013			
11.037	Ремень 1197 J5 «Optibelt» черный		Ремень 1197 J5 «Optibelt» черный	u	221	UAH	шт.	1	182	2		+						11.037			
11.042	Ремень 1199 J5 EL «Hutchinson» черный		Ремень 1199 J5 EL «Hutchinson» черный	u	209	UAH	шт.	1	175	2		-						11.042			
11.022	Ремень 1200 H8 EL		Ремень 1200 H8 EL	u	185	UAH	шт.	1	143	2		+						11.022			
11.041	Ремень 1200 J6 EL «Megadyne» желтый		Ремень 1200 J6 EL «Megadyne» желтый	u	185	UAH	шт.	1	147	2		+						11.041			
11.030	Ремень 1204 H8 EL «Hutchinson» черный		Ремень 1204 H8 EL «Hutchinson» черный	u	185	UAH	шт.	1	157	2		+						11.030			
11.031	Ремень 1204 H8 «Optibelt» черный		Ремень 1204 H8 «Optibelt» черный	u	185	UAH	шт.	1	139	2		+						11.031			
11.014	Ремень 1207 J4 "Hutchinson" черный		Ремень 1207 J4 "Hutchinson" черный	u	175	UAH	шт.	1	145	2		+						11.014			
11.063	Ремень 1210 J5 EL «Optibelt» черный		Ремень 1210 J5 EL «Optibelt» черный	u	227	UAH	шт.	1	165	2		+						11.063			
