Код_товара;Название_позиции;Ключевые_слова;Описание;Тип_товара;Цена;Валюта;Единица_измерения;Минимальный_объем_заказа;Оптовая_цена;Минимальный_заказ_опт;Ссылка_изображения;Наличие;Скидка;Производитель;Страна_производитель;Номер_группы;Адрес_подраздела;Идентификатор_товара;Уникальный_идентификатор;Идентификатор_подраздела
2.3.0002;Датчик оттайки холодильника Samsung DA32-00006W;;Датчик оттайки холодильника Samsung DA32-00006W;u;138;UAH;шт.;1;138;2;;+;;;;;;2.28.0012;;
2.3.0001;Датчик температуры LG 6615JB2005A;;Датчик температуры LG 6615JB2005A;u;140;UAH;шт.;1;140;2;;+;;;;;;2.28.0003;;
2.10.003;Двигатель вентилятора для холодильника 8.5W NO FROST MTF705RF2.10.;;Двигатель вентилятора для холодильника 8.5W NO FROST MTF705RF2.10.;u;313;UAH;шт.;1;313;2;;+;;;;;;;;
5.2.004;Диод высоковольтный CL01-12 для микроволновки;;Диод высоковольтный CL01-12 для микроволновки;u;26;UAH;шт.;1;26;2;;+;;;;;;3.112.0006;;
15.002;Завес (петля) люка Samsung DC61-01632A;;Завес (петля) люка Samsung DC61-01632A;u;264;UAH;шт.;1;264;2;;+;;;;;;1.15.0009;;
5.043;Заглушка отверстия в ТЭНе;;Заглушка отверстия в ТЭНе;u;27;UAH;шт.;1;27;2;;+;;;;;;1.4.0038;;
6.014;Замок люка Indesit Ariston C00254755;;Замок люка Indesit Ariston C00254755;u;506;UAH;шт.;1;506;2;;+;;;;;;1.23.0022;;
6.001;Замок (УБЛ) ARDO SE / Whirlpool;;Замок (УБЛ) ARDO SE / Whirlpool;u;225;UAH;шт.;1;225;2;;+;;;;;;1.23.0005;;
6.002;Замок (УБЛ) Ardo TL;;Замок (УБЛ) Ardo TL;u;296;UAH;шт.;1;296;2;;+;;;;;;1.23.0001;;
6.017;Замок (УБЛ) Beko 2805310100 (Metalflex ZV-446);;Замок (УБЛ) Beko 2805310100 (Metalflex ZV-446);u;240;UAH;шт.;1;240;2;;+;;;;;;1.23.0073;;
6.023;Замок (УБЛ) Beko 2805311400;;Замок (УБЛ) Beko 2805311400;u;225;UAH;шт.;1;225;2;;+;;;;;;1.23.0123;;
6.012;Замок (УБЛ) BOSCH 421470;;Замок (УБЛ) BOSCH 421470;u;430;UAH;шт.;1;430;2;;+;;;;;;1.23.0173;;
6.003;Замок (УБЛ) Electrolux 124967514;;Замок (УБЛ) Electrolux 124967514;u;357;UAH;шт.;1;357;2;;+;;;;;;1.23.0064;;
6.015;Замок (УБЛ) Electrolux Zanussi 1321009027;;Замок (УБЛ) Electrolux Zanussi 1321009027;u;270;UAH;шт.;1;270;2;;+;;;;;;1.23.0044;;
6.004;Замок (УБЛ) Gorenje 170966;;Замок (УБЛ) Gorenje 170966;u;209;UAH;шт.;1;209;2;;+;;;;;;1.23.0043;;
6.022;Замок (УБЛ) Indesit Ariston C00011140;;Замок (УБЛ) Indesit Ariston C00011140;u;245;UAH;шт.;1;245;2;;+;;;;;;1.23.0015;;
6.016;Замок(УБЛ)Indesit.Ariston C00085194(Metaltlex ZV-446);;Замок(УБЛ)Indesit.Ariston C00085194(Metaltlex ZV-446);u;205;UAH;шт.;1;205;2;;+;;;;;;1.23.0133;;
6.005;Замок (УБЛ) Indesit, Atriston C00085194;;Замок (УБЛ) Indesit, Atriston C00085194;u;215;UAH;шт.;1;215;2;;+;;;;;;1.23.0012;;
6.013;Замок (УБЛ) Indesit C00297327 ROLD DM066;;Замок (УБЛ) Indesit C00297327 ROLD DM066;u;203;UAH;шт.;1;203;2;;+;;;;;;1.23.0172;;
6.006;замок (УБЛ) LG;;замок (УБЛ) LG;u;240;UAH;шт.;1;240;2;;+;;;;;;1.23.0004;;
6.007;Замок (УБЛ) LG EBF49827803;;Замок (УБЛ) LG EBF49827803;u;465;UAH;шт.;1;465;2;;+;;;;;;1.23.0062;;
6.018;Замок (УБЛ) LG правый ROLD DA081045;;Замок (УБЛ) LG правый ROLD DA081045;u;214;UAH;шт.;1;214;2;;+;;;;;;1.23.0010;;
6.008;замок (УБЛ) Samsung (Metalflex ZV-446);;замок (УБЛ) Samsung (Metalflex ZV-446);u;196;UAH;шт.;1;196;2;;+;;;;;;1.23.0002;;
6.009;Замок (УБЛ) Samsung старого образца;;Замок (УБЛ) Samsung старого образца;u;340;UAH;шт.;1;340;2;;+;;;;;;1.23.0009;;
6.021;Замок (УБЛ) TL EVOII ARISTON MERLONI INDESIT C00111494;;Замок (УБЛ) TL EVOII ARISTON MERLONI INDESIT C00111494;u;310;UAH;шт.;1;310;2;;+;;;;;;1.23.0003;;
6.024;Замок (УБЛ) Атлант 50c102-0006.024;;Замок (УБЛ) Атлант 50c102-0006.024;u;195;UAH;шт.;1;195;2;;+;;;;;;1.23.0071;;
6.010;Замок (УБЛ) для Стиральной машины Candy 41016879;;Замок (УБЛ) для Стиральной машины Candy 41016879;u;242;UAH;шт.;1;242;2;;+;;;;;;1.23.0065;;
16.0001;Катушка тахогенератора Beko;;Катушка тахогенератора Beko;u;215;UAH;шт.;1;215;2;;+;;;;;;1.26.0001;;
7.001;Катушка универсального клапана 220V клемы раздельно;;Катушка универсального клапана 220V клемы раздельно;u;42;UAH;шт.;1;42;2;;+;;;;;;1.5.0038;;
3.4.002;Клапан бойлера 1/2 без ручки;;Клапан бойлера 1/2 без ручки;u;60;UAH;шт.;1;60;2;;+;;;;;;;;
3.4.001;Клапан бойлера 1/2 с ручкой;;Клапан бойлера 1/2 с ручкой;u;80;UAH;шт.;1;80;2;;+;;;;;;;;
7.002;клапан впускной 1/180 универсальный;;клапан впускной 1/180 универсальный;u;126;UAH;шт.;1;126;2;;+;;;;;;1.5.0002;;
7.003;Клапан впускной 1/90 универсальный;;Клапан впускной 1/90 универсальный;u;115;UAH;шт.;1;115;2;;+;;;;;;1.5.0001;;
7.010;Клапан впускной 2/180 со спаренной фишкой;;Клапан впускной 2/180 со спаренной фишкой;u;241;UAH;шт.;1;241;2;;+;;;;;;1.5.0010;;
7.014;Клапан впускной 2/180 с тонкими выходами Bosch 428210;;Клапан впускной 2/180 с тонкими выходами Bosch 428210;u;345;UAH;шт.;1;345;2;;+;;;;;;1.5.0070;;
7.004;Клапан впускной 2/180 Универсальный;;Клапан впускной 2/180 Универсальный;u;215;UAH;шт.;1;215;2;;+;;;;;;1.5.0006;;
7.005;Клапан впускной 2/180 универсальный с пластиковым креплением;;Клапан впускной 2/180 универсальный с пластиковым креплением;u;220;UAH;шт.;1;220;2;;+;;;;;;1.5.0046;;
7.006;Клапан впускной 2/90 Ariston Indesit;;Клапан впускной 2/90 Ariston Indesit;u;408;UAH;шт.;1;408;2;;+;;;;;;1.5.0009;;
7.007;Клапан впускной 2/90 Indesit Ariston под клемы;;Клапан впускной 2/90 Indesit Ariston под клемы;u;235;UAH;шт.;1;235;2;;+;;;;;;1.5.0004;;
7.008;Клапан впускной 2/90 Indesit Ariston под фишки C00110333 Original;;Клапан впускной 2/90 Indesit Ariston под фишки C00110333 Original;u;249;UAH;шт.;1;249;2;;+;;;;;;1.5.0019;;
7.011;Клапан впускной 2/90 Indesit Ariston под фишку;;Клапан впускной 2/90 Indesit Ariston под фишку;u;201;UAH;шт.;1;201;2;;+;;;;;;1.5.0007;;
7.013;Клапан впускной 2/90 универсальный;;Клапан впускной 2/90 универсальный;u;215;UAH;шт.;1;215;2;;+;;;;;;1.5.0008;;
7.012;Клапан впускной Whirlpool 480111100199;;Клапан впускной Whirlpool 480111100199;u;366;UAH;шт.;1;366;2;;+;;;;;;1.5.0061;;
2.6.001;Клапан Шредера(1/4,6 см);;Клапан Шредера(1/4,6 см);u;24;UAH;шт.;1;24;2;;+;;;;;;;;
0001;Клема FDD1.25-250;;Клема FDD1.25-250;u;1;UAH;шт.;1;1;2;;+;;;;;;;;
17.002;Кнопка (клавиша) Start Whirlpool 481071425341;;Кнопка (клавиша) Start Whirlpool 481071425341;u;155;UAH;шт.;1;155;2;;+;;;;;;1.49.0042;;
2.11.01;Комплект ручек для двери морозильной и холодильной камеры Snaige2;;Комплект ручек для двери морозильной и холодильной камеры Snaige2;u;285;UAH;шт.;1;285;2;;+;;;;;;2.21.0178;;
18.0010;Конденсатор 10 Mf 450V;;Конденсатор 10 Mf 450V;u;55;UAH;шт.;1;55;2;;+;;;;;;1.7.0007;;
18.0001;Конденсатор 12,5 Mf 450V;;Конденсатор 12,5 Mf 450V;u;75;UAH;шт.;1;75;2;;+;;;;;;1.7.0004;;
18.0002;Конденсатор 14 Mf 450V;;Конденсатор 14 Mf 450V;u;64;UAH;шт.;1;64;2;;+;;;;;;1.7.0003;;
18.0007;Конденсатор 16 Mf 450V;;Конденсатор 16 Mf 450V;u;70;UAH;шт.;1;70;2;;+;;;;;;1.7.0001;;
18.0004;Конденсатор 18 Mf 450V;;Конденсатор 18 Mf 450V;u;85;UAH;шт.;1;85;2;;+;;;;;;1.7.0005;;
18.0008;Конденсатор 22 Mf 450V;;Конденсатор 22 Mf 450V;u;90;UAH;шт.;1;90;2;;+;;;;;;1.7.0006;;
18.0009;Конденсатор 25 Mf 450V;;Конденсатор 25 Mf 450V;u;105;UAH;шт.;1;105;2;;+;;;;;;1.7.0009;;
18.0005;Конденсатор 4 Mf 450V;;Конденсатор 4 Mf 450V;u;41;UAH;шт.;1;41;2;;+;;;;;;2.7.0003;;
18.0011;Конденсатор 6 Mf 450V;;Конденсатор 6 Mf 450V;u;52;UAH;шт.;1;52;2;;+;;;;;;2.7.0006;;
18.0012;Конденсатор «САТУРН» двойной.;;Конденсатор «САТУРН» двойной.;u;125;UAH;шт.;1;125;2;;+;;;;;;1.7.0011;;
14.013;Корпус насоса Gorenje 169185;;Корпус насоса Gorenje 169185;u;172;UAH;шт.;1;172;2;;+;;;;;;1.46.0016;;
14.001;Корпус насоса с фильтром в сборе Bosch Max для стиральной машины;;Корпус насоса с фильтром в сборе Bosch Max для стиральной машины;u;172;UAH;шт.;1;172;2;;+;;;;;;1.46.0063;;
29.006;Кран для стиральной машинки магистральный 1/2*3/4*1/2;;Кран для стиральной машинки магистральный 1/2*3/4*1/2;u;120;UAH;шт.;1;120;2;;+;;;;;;15.62.0002;;
29.005;Кран для стиральной машинки угловой;;Кран для стиральной машинки угловой;u;96;UAH;шт.;1;96;2;;+;;;;;;15.62.0001;;
19.0008;Крестовина барабана LG MHW34308901;;Крестовина барабана LG MHW34308901;u;935;UAH;шт.;1;935;2;;+;;;;;;1.8.0017;;
19.0003;Крестовина барабана Samsung DC97-15182A Original;;Крестовина барабана Samsung DC97-15182A Original;u;960;UAH;шт.;1;960;2;;+;;;;;;1.8.0019;;
2.10.004;Крыльчатка вентилятора Indesit C00859992;;Крыльчатка вентилятора Indesit C00859992;u;95;UAH;шт.;1;95;2;;+;;;;;;2.47.0002;;
2.10.005;Крыльчатка вентилятора Samsung DA31-00019A;;Крыльчатка вентилятора Samsung DA31-00019A;u;86;UAH;шт.;1;86;2;;+;;;;;;2.47.0008;;
14.003;крышка насоса Gorenje 279538;;крышка насоса Gorenje 279538;u;224;UAH;шт.;1;224;2;;+;;;;;;1.46.0021;;
14.004;Крышка насоса Siemens Bosch;;Крышка насоса Siemens Bosch;u;185;UAH;шт.;1;185;2;;+;;;;;;1.46.0033;;
14.009;Крышка насоса (фильтр) Beko 2810900100;;Крышка насоса (фильтр) Beko 2810900100;u;126;UAH;шт.;1;126;2;;+;;;;;;1.46.0038;;
14.010;Крышка насоса (Фильтр) Bosch Siemens 605010 не оригинал;;Крышка насоса (Фильтр) Bosch Siemens 605010 не оригинал;u;87;UAH;шт.;1;87;2;;+;;;;;;1.46.0041;;
14.005;Крышка насоса (Фильтр) Indesit;;Крышка насоса (Фильтр) Indesit;u;75;UAH;шт.;1;75;2;;+;;;;;;1.46.0001;;
14.006;Крышка насоса (Фильтр) Indesit Ariston (комплект);;Крышка насоса (Фильтр) Indesit Ariston (комплект);u;139;UAH;шт.;1;139;2;;+;;;;;;1.46.0024;;
14.011;Крышка насоса (фильтр) Indesit C00141034 (не оригинал);;Крышка насоса (фильтр) Indesit C00141034 (не оригинал);u;85;UAH;шт.;1;85;2;;+;;;;;;1.46.0086;;
14.007;Крышка насоса (Фильтр) Samsung;;Крышка насоса (Фильтр) Samsung;u;233;UAH;шт.;1;233;2;;+;;;;;;DC97-09928D;;
14.008;Крышка насоса (Фильтр) Whirlpool;;Крышка насоса (Фильтр) Whirlpool;u;129;UAH;шт.;1;129;2;;+;;;;;;1.46.0008;;
2.8.001;Лампочка для холодильника 15W E14 Britech;;Лампочка для холодильника 15W E14 Britech;u;27;UAH;шт.;1;27;2;;+;;;;;;2.102.0004;;
3.2.002;Магниевый анод 20мм*200мм ножка 180мм М6 Италия;;Магниевый анод 20мм*200мм ножка 180мм М6 Италия;u;96;UAH;шт.;1;96;2;;+;;;;;;4.33.0034;;
3.2.006;Магниевый анод 21мм*200мм ножка 25мм М8;;Магниевый анод 21мм*200мм ножка 25мм М8;u;62;UAH;шт.;1;62;2;;+;;;;;;4.33.0038;;
3.2.008;Магниевый анод для бойлера 20x400mm, M8x30mm;;Магниевый анод для бойлера 20x400mm, M8x30mm;u;135;UAH;шт.;1;135;2;;+;;;;;;;;
3.2.007;Магниевый анод для бойлера 25x400mm, M8x30mm;;Магниевый анод для бойлера 25x400mm, M8x30mm;u;173;UAH;шт.;1;173;2;;+;;;;;;;;
3.2.001;Магниевый анод М4 на короткой ножке Украина;;Магниевый анод М4 на короткой ножке Украина;u;58;UAH;шт.;1;58;2;;+;;;;;;4.33.0015;;
3.2.005;Магниевый анод М5 на длинной ножке Украина;;Магниевый анод М5 на длинной ножке Украина;u;65;UAH;шт.;1;65;2;;+;;;;;;4.33.0017;;
3.2.003;Магниевый анод М5 на короткой ножке Украина;;Магниевый анод М5 на короткой ножке Украина;u;60;UAH;шт.;1;60;2;;+;;;;;;4.33.0008;;
3.2.004;Магниевый анод М6 на длинной ножке Украина;;Магниевый анод М6 на длинной ножке Украина;u;65;UAH;шт.;1;65;2;;+;;;;;;4.33.0019;;
13.002;Микроконтроллер HD6433692B86HV;;Микроконтроллер HD6433692B86HV;u;300;UAH;шт.;1;300;2;;+;;;;;;7.93.0002;;
13.003;микроконтроллер MC9S08GB60A;;микроконтроллер MC9S08GB60A;u;150;UAH;шт.;1;150;2;;+;;;;;;7.93.0004;;
30.0004;Модуль (плата) Indesit Arcadia C00252878 б/у.;;Модуль (плата) Indesit Arcadia C00252878 б/у.;u;850;UAH;шт.;1;850;2;;+;;;;;;1.16.0032;;
30.0003;Модуль (плата) Indesit Arcadia C00288974;;Модуль (плата) Indesit Arcadia C00288974;u;1650;UAH;шт.;1;1650;2;;+;;;;;;1.16.0226;;
6.1.001;Мотор универсальный 1800w 135мм с буртиком для пылесоса;;Мотор универсальный 1800w 135мм с буртиком для пылесоса;u;565;UAH;шт.;1;565;2;;+;;;;;;6.29.0140;;
2.017;Насос в сборе с корпусом Indesit C00309709;;Насос в сборе с корпусом Indesit C00309709;u;570;UAH;шт.;1;570;2;;+;;;;;;1.6.0113;;
2.001;Насос на 3 самореза (типа Plaset) фишка спаренная сзади.;;Насос на 3 самореза (типа Plaset) фишка спаренная сзади.;u;322;UAH;шт.;1;322;2;;+;;;;;;1.6.0064;;
2.019;Насос (помпа) 30W на 3 защелках клеммы сзади раздельно HANYU B20-6AZC;;Насос (помпа) 30W на 3 защелках клеммы сзади раздельно HANYU B20-6AZC;u;265;UAH;шт.;1;265;2;;+;;;;;;1.6.0137;;
2.015;Насос (помпа) 30W на 3 защелках клемы сзади слитно HANYU B20-6AZC;;Насос (помпа) 30W на 3 защелках клемы сзади слитно HANYU B20-6AZC;u;283;UAH;шт.;1;283;2;;+;;;;;;1.6.0138;;
2.021;Насос (помпа) 40W на 3 саморезах клеми раздельно сзади HANYU B15-6A;;Насос (помпа) 40W на 3 саморезах клеми раздельно сзади HANYU B15-6A;u;235;UAH;шт.;1;235;2;;+;;;;;;1.6.0145;;
2.002;Насос (помпа) Ardo на 8 защелках клемы слитно сзади;;Насос (помпа) Ardo на 8 защелках клемы слитно сзади;u;352;UAH;шт.;1;352;2;;+;;;;;;1.6.0010;;
2.012;Насос (помпа) ARDO с корпусом на 8 защелок;;Насос (помпа) ARDO с корпусом на 8 защелок;u;379;UAH;шт.;1;379;2;;+;;;;;;1.6.0037;;
2.014;Насос (помпа) Askoll 40W клемы сзади слитно (Китай);;Насос (помпа) Askoll 40W клемы сзади слитно (Китай);u;247;UAH;шт.;1;247;2;;+;;;;;;1.6.0139;;
2.003;Насос (помпа) Askoll mod. M224XP/M231XP;;Насос (помпа) Askoll mod. M224XP/M231XP;u;281;UAH;шт.;1;281;2;;+;;;;;;1.6.0001;;
2.004;Насос (помпа) Askoll Mod. M332 (алюминиевая катушка);;Насос (помпа) Askoll Mod. M332 (алюминиевая катушка);u;255;UAH;шт.;1;255;2;;+;;;;;;1.6.0121;;
2.007;Насос (помпа) Askoll Mod. R050 / M220/ M221;;Насос (помпа) Askoll Mod. R050 / M220/ M221;u;362;UAH;шт.;1;362;2;;+;;;;;;1.6.0003;;
2.005;Насос (помпа) Askoll Type. M114/M239;;Насос (помпа) Askoll Type. M114/M239;u;337;UAH;шт.;1;337;2;;+;;;;;;1.6.0008;;
2.006;Насос (помпа) Askoll Type.M278 со спаренной фишкой;;Насос (помпа) Askoll Type.M278 со спаренной фишкой;u;325;UAH;шт.;1;325;2;;+;;;;;;1.6.0012;;
2.008;Насос (помпа) Askoll Type.M50/M221;;Насос (помпа) Askoll Type.M50/M221;u;383;UAH;шт.;1;383;2;;+;;;;;;1.6.0002;;
2.009;Насос (помпа) Copreci на 4-х защелках, клемы слитно спереди.;;Насос (помпа) Copreci на 4-х защелках, клемы слитно спереди.;u;556;UAH;шт.;1;556;2;;+;;;;;;1.6.0069;;
2.020;Насос (помпа) LEILI на 3 защелки клемы расдельно сзади;;Насос (помпа) LEILI на 3 защелки клемы расдельно сзади;u;293;UAH;шт.;1;293;2;;+;;;;;;1.6.0119;;
2.018;Насос (помпа) Samsung с корпусом Китай;;Насос (помпа) Samsung с корпусом Китай;u;428;UAH;шт.;1;428;2;;+;;;;;;1.6.0055;;
2.013;Насос (помпа) на 3 защелках клемы слитно спереди (Китай);;Насос (помпа) на 3 защелках клемы слитно спереди (Китай);u;255;UAH;шт.;1;255;2;;+;;;;;;1.6.0141;;
20.0002;Ножка универсальная М10*1.5 (нормальный шаг) диаметр 40мм;;Ножка универсальная М10*1.5 (нормальный шаг) диаметр 40мм;u;35;UAH;шт.;1;35;2;;+;;;;;;1.45.0025;;
21.0002;Патрубок Samsung от порошкоприемника к баку;;Патрубок Samsung от порошкоприемника к баку;u;190;UAH;шт.;1;190;2;;+;;;;;;1.35.0003;;
21.0005;Патрубок для отвода воздуха Samsung DC67-00205A;;Патрубок для отвода воздуха Samsung DC67-00205A;u;223;UAH;шт.;1;223;2;;+;;;;;;1.35.0081;;
21.0004;Патрубок «САТУРН» длинный (прозрачный);;Патрубок «САТУРН» длинный (прозрачный);u;54;UAH;шт.;1;54;2;;+;;;;;;1.35.0088;;
29.001;Подставка-амортизатор под стиральную машинку SKL;;Подставка-амортизатор под стиральную машинку SKL;u;120;UAH;шт.;1;120;2;;+;;;;;;1.45.0021;;
3.043;Подшипник 102 2RS ZKL(Чехия);;Подшипник 102 2RS ZKL(Чехия);u;82;UAH;шт.;1;82;2;;+;;;;;;1.13.0079;;
3.055;Подшипник 201 2RS ZKL (Чехия);;Подшипник 201 2RS ZKL (Чехия);u;66;UAH;шт.;1;66;2;;+;;;;;;1.13.0065;;
3.039;Подшипник 202 ZZ INA (Германия);;Подшипник 202 ZZ INA (Германия);u;65;UAH;шт.;1;65;2;;+;;;;;;1.13.0089;;
3.041;Подшипник 203 ZZ ZKL (Чехия);;Подшипник 203 ZZ ZKL (Чехия);u;85;UAH;шт.;1;85;2;;+;;;;;;1.13.0091;;
3.042;Подшипник 204 ZZ ZKL (Чехия);;Подшипник 204 ZZ ZKL (Чехия);u;90;UAH;шт.;1;90;2;;+;;;;;;1.13.0082;;
3.036;Подшипник 208 ZZ ZKL (Чехия);;Подшипник 208 ZZ ZKL (Чехия);u;250;UAH;шт.;1;250;2;;+;;;;;;1.13.0087;;
3.054;Подшипник 305 2RS ZKL (Чехия);;Подшипник 305 2RS ZKL (Чехия);u;155;UAH;шт.;1;155;2;;+;;;;;;1.13.0074;;
3.035;Подшипник 306 2RS ZKL (Чехия);;Подшипник 306 2RS ZKL (Чехия);u;260;UAH;шт.;1;260;2;;+;;;;;;1.13.0077;;
3.038;Подшипник 306 ZZ ZKL (Чехия);;Подшипник 306 ZZ ZKL (Чехия);u;240;UAH;шт.;1;240;2;;+;;;;;;1.13.0078;;
3.050;Подшипник 307 2RS ZKL (Чехия);;Подшипник 307 2RS ZKL (Чехия);u;241;UAH;шт.;1;241;2;;+;;;;;;1.13.0075;;
3.037;Подшипник 307 ZZ ZKL (Чехия);;Подшипник 307 ZZ ZKL (Чехия);u;270;UAH;шт.;1;270;2;;+;;;;;;1.13.0092;;
3.051;Подшипник 608 2RS ZKL (Чехия);;Подшипник 608 2RS ZKL (Чехия);u;55;UAH;шт.;1;55;2;;+;;;;;;6.13.0004;;
3.053;Подшипник 608 ZZ ZKL (Чехия);;Подшипник 608 ZZ ZKL (Чехия);u;39;UAH;шт.;1;39;2;;+;;;;;;6.13.0005;;
3.001;Подшипник PPL 201 zz (ISKRA Польша);;Подшипник PPL 201 zz (ISKRA Польша);u;77;UAH;шт.;1;77;2;;+;;;;;;1.13.0038;;
3.002;Подшипник PPL 202 zz (ISKRA Польша);;Подшипник PPL 202 zz (ISKRA Польша);u;80;UAH;шт.;1;80;2;;+;;;;;;1.13.0032;;
3.003;Подшипник PPL 203 zz (ISKRA Польша);;Подшипник PPL 203 zz (ISKRA Польша);u;85;UAH;шт.;1;85;2;;+;;;;;;1.13.0033;;
3.004;Подшипник PPL 204 zz (ISKRA Польша);;Подшипник PPL 204 zz (ISKRA Польша);u;90;UAH;шт.;1;90;2;;+;;;;;;1.13.0034;;
3.005;Подшипник PPL205 zz (ISKRA Польша);;Подшипник PPL205 zz (ISKRA Польша);u;105;UAH;шт.;1;105;2;;+;;;;;;1.13.0035;;
3.006;подшипник PPL206 zz (ISKRA Польша);;подшипник PPL206 zz (ISKRA Польша);u;135;UAH;шт.;1;135;2;;+;;;;;;1.13.0039;;
3.029;Подшипник PPL 304 zz (ISKRA Польша);;Подшипник PPL 304 zz (ISKRA Польша);u;138;UAH;шт.;1;138;2;;+;;;;;;1.13.0036;;
3.032;Подшипник SKF 201 zz (фирменная упаковка);;Подшипник SKF 201 zz (фирменная упаковка);u;75;UAH;шт.;1;75;2;;+;;;;;;1.13.0053;;
3.009;Подшипник SKF 202 zz;;Подшипник SKF 202 zz;u;90;UAH;шт.;1;90;2;;+;;;;;;1.13.0002;;
3.033;Подшипник SKF 202 zz (фирменная упакоковка);;Подшипник SKF 202 zz (фирменная упакоковка);u;90;UAH;шт.;1;90;2;;+;;;;;;1.13.0054;;
3.010;Подшипник SKF 203 zz;;Подшипник SKF 203 zz;u;92;UAH;шт.;1;92;2;;+;;;;;;1.13.0003;;
3.028;Подшипник SKF 203 zz (оригенальная упаковка);;Подшипник SKF 203 zz (оригенальная упаковка);u;98;UAH;шт.;1;98;2;;+;;;;;;1.13.0055;;
3.011;Подшипник SKF 204zz;;Подшипник SKF 204zz;u;115;UAH;шт.;1;115;2;;+;;;;;;1.13.0001;;
3.031;Подшипник SKF 204 zz (фирменная упаковка);;Подшипник SKF 204 zz (фирменная упаковка);u;115;UAH;шт.;1;115;2;;+;;;;;;1.13.0056;;
3.056;Подшипник SKF 205 2RS Original;;Подшипник SKF 205 2RS Original;u;165;UAH;шт.;1;165;2;;+;;;;;;1.13.0120;;
3.012;подшипник SKF 205zz;;подшипник SKF 205zz;u;132;UAH;шт.;1;132;2;;+;;;;;;1.13.0004;;
3.044;Подшипник SKF 205 zz (фирменная упаковка);;Подшипник SKF 205 zz (фирменная упаковка);u;145;UAH;шт.;1;145;2;;+;;;;;;1.13.0057;;
3.013;Подшипник SKF 206 zz;;Подшипник SKF 206 zz;u;175;UAH;шт.;1;175;2;;+;;;;;;1.13.0007;;
3.027;Подшипник SKF 206 zz (Оригинальная упаковка);;Подшипник SKF 206 zz (Оригинальная упаковка);u;181;UAH;шт.;1;181;2;;+;;;;;;1.13.0058;;
3.049;Подшипник SKF 207 zz Original;;Подшипник SKF 207 zz Original;u;264;UAH;шт.;1;264;2;;+;;;;;;1.13.0090;;
3.040;Подшипник SKF 305 zz (фирменная упоковка);;Подшипник SKF 305 zz (фирменная упоковка);u;225;UAH;шт.;1;225;2;;+;;;;;;1.13.0061;;
3.015;Подшипник SKF 306zz;;Подшипник SKF 306zz;u;286;UAH;шт.;1;286;2;;+;;;;;;1.13.0012;;
3.025;Подшипник SKF 306 zz (фирменная упаковка);;Подшипник SKF 306 zz (фирменная упаковка);u;265;UAH;шт.;1;265;2;;+;;;;;;1.13.0062;;
3.034;Подшипник SKF 608 zz (фирменная упаковка);;Подшипник SKF 608 zz (фирменная упаковка);u;70;UAH;шт.;1;70;2;;+;;;;;;6.13.0006;;
3.016;Подшипник SKF 6208-2z закрытый с двух сторон;;Подшипник SKF 6208-2z закрытый с двух сторон;u;429;UAH;шт.;1;429;2;;+;;;;;;1.13.0070;;
3.017;Подшипник SKL 202 zz;;Подшипник SKL 202 zz;u;35;UAH;шт.;1;35;2;;+;;;;;;1.13.0016;;
3.018;Подшипник SKL 203 zz;;Подшипник SKL 203 zz;u;39;UAH;шт.;1;39;2;;+;;;;;;1.13.0017;;
3.019;подшипник SKL 204 zz;;подшипник SKL 204 zz;u;62;UAH;шт.;1;62;2;;+;;;;;;1.13.0018;;
3.020;Подшипник SKL 205 zz;;Подшипник SKL 205 zz;u;72;UAH;шт.;1;72;2;;+;;;;;;1.13.0019;;
3.021;Подшипник SKL 206 zz;;Подшипник SKL 206 zz;u;94;UAH;шт.;1;94;2;;+;;;;;;1.13.0014;;
3.048;Подшипник SKL 207 zz;;Подшипник SKL 207 zz;u;115;UAH;шт.;1;115;2;;+;;;;;;1.13.0020;;
3.022;Подшипник SKL 305 zz;;Подшипник SKL 305 zz;u;108;UAH;шт.;1;108;2;;+;;;;;;1.13.0030;;
3.024;Подшипник SKL 306 zz;;Подшипник SKL 306 zz;u;135;UAH;шт.;1;135;2;;+;;;;;;1.13.0028;;
3.023;Подшипник двухрядный BA2B 633667 BB SKF;;Подшипник двухрядный BA2B 633667 BB SKF;u;455;UAH;шт.;1;455;2;;+;;;;;;1.13.0009;;
2.2.001;Позисторное реле универсальное PTC 1/12-1/2Hp;;Позисторное реле универсальное PTC 1/12-1/2Hp;u;134;UAH;шт.;1;134;2;;+;;;;;;2.44.0068;;
5.2.005;Предохранитель высоковольтный 0.8A 5kV;;Предохранитель высоковольтный 0.8A 5kV;u;30;UAH;шт.;1;30;2;;+;;;;;;3.95.0006;;
16.0003;Прессостат (датчик уровня воды) Indesit Ariston C00111493;;Прессостат (датчик уровня воды) Indesit Ariston C00111493;u;276;UAH;шт.;1;276;2;;+;;;;;;1.50.0011;;
16.0004;Прессостат (датчик уровня воды) Indesit C00110332;;Прессостат (датчик уровня воды) Indesit C00110332;u;254;UAH;шт.;1;254;2;;+;;;;;;1.50.0033;;
2.6.001;Припой для алюминия FILALU 1192 NC;;Припой для алюминия FILALU 1192 NC;u;26;UAH;шт.;1;26;2;;+;;;;;;2.73.0002;;
2.6.002;Припой для меди с флюсом ?2,5мм;;Припой для меди с флюсом ?2,5мм;u;24;UAH;шт.;1;24;2;;+;;;;;;2.73.0003;;
