Код_товара	Название_позиции	Тип_товара	Цена	Валюта	Единица_измерения	Минимальный_объем_заказа	Оптовая_цена	Минимальный_заказ_опт	Ссылка_изображения	Наличие	Количество	Номер_группы	Название_группы	Адрес_подраздела	Возможность_поставки	Срок_поставки	Способ_упаковки	Уникальный_идентификатор	Идентификатор_товара	Идентификатор_подраздела	Идентификатор_группы	Производитель	Страна_производитель	Скидка	ID_группы_разновидностей	Метки	Продукт_на_сайте	Название_Характеристики	Измерение_Характеристики	Значение_Характеристики	Название_Характеристики	Измерение_Характеристики	Значение_Характеристики	Название_Характеристики	Измерение_Характеристики	Значение_Характеристики	Название_Характеристики	Измерение_Характеристики	Значение_Характеристики
4.0008	Активатор(ребро) в барабан Indesit Ariston C00097565 original	r	126	UAH	шт.				https://images.ua.prom.st/1216688755_w640_h640_img_20180625_135900.jpg, https://images.ua.prom.st/1216688867_w640_h640_img_20180625_135909.jpg	+		25109862	Ребра (активаторы) барабана	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				728013658		64403		indezit					https://mastermy.kiev.ua/p728013658-aktivatorrebro-baraban-indesit.html	Вид запчасти		Рёбра барабана (активаторы)	Состояние		новый						
1.007	Амортизатор 100N Samsung DC66-00343G Original	r	93	UAH	шт.				https://images.ua.prom.st/846396849_w640_h640_img_20170709_112004.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				523761798		64403		Samsung					https://mastermy.kiev.ua/p523761798-amortizator-100n-samsung.html	Состояние		Новое	Вид запчасти		Амортизатор						
1.020	Амортизатор 120N Bosch Miele 107654	r	120	UAH	шт.				https://images.ua.prom.st/988129692_w640_h640_img_20171129_163936.jpg, https://images.ua.prom.st/988129541_w640_h640_img_20171129_163928.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				619927119		64403		Miele					https://mastermy.kiev.ua/p619927119-amortizator-120n-bosch.html	Вид запчасти		Амортизатор	Состояние		новый						
1.022	Амортизатор 120N Miele Bosch	r	176	UAH	шт.				https://images.ua.prom.st/1014211557_w640_h640_img_20171223_135527.jpg, https://images.ua.prom.st/1014211411_w640_h640_img_20171223_135510.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				631848710		64403		BOSCH					https://mastermy.kiev.ua/p631848710-amortizator-120n-miele.html	Вид запчасти		Амортизатор	Состояние		новый						
1.017	Амортизатор 40N Samsung DC66-00343E	r	94	UAH	шт.				https://images.ua.prom.st/943908192_w640_h640_img_20171020_131857.jpg, https://images.ua.prom.st/943907872_w640_h640_img_20171020_131838.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				569208775		64403		Samsung					https://mastermy.kiev.ua/p569208775-amortizator-40n-samsung.html	Вид запчасти		Амортизатор	Состояние		новый						
1.029	Амортизатор 60N Zanussi Electrolux 132255383 (не оригинал)	r	73	UAH	шт.				https://images.ua.prom.st/1114838630_w640_h640_img_20180330_130135.jpg, https://images.ua.prom.st/1114839165_w640_h640_img_20180330_130200.jpg, https://images.ua.prom.st/1114838899_w640_h640_img_20180330_130144.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				673444608		64403		Electrolux	Electrolux				https://mastermy.kiev.ua/p673444608-amortizator-60n-zanussi.html	Вид запчасти		Амортизатор	Состояние		новый						
1.023	Амортизатор 70N Samsung DC66-00531A	r	134	UAH	шт.				https://images.ua.prom.st/1014215190_w640_h640_img_20171223_140222.jpg, https://images.ua.prom.st/1014215126_w640_h640_img_20171223_140208.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				631853197		64403							https://mastermy.kiev.ua/p631853197-amortizator-70n-samsung.html												
1.028	Амортизатор Beko 2803250100	r	134	UAH	шт.				https://images.ua.prom.st/1097087819_w640_h640_img_20180313_132757.jpg, https://images.ua.prom.st/1097087689_w640_h640_img_20180313_132746.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				668151485		64403		BEKO					https://mastermy.kiev.ua/p668151485-amortizator-beko-2803250100.html	Вид запчасти		Амортизатор	Состояние		новый						
1.002	Амортизатор Bosch 481932 неоригинал	r	105	UAH	шт.				https://images.ua.prom.st/1252165483_w640_h640_img_20180730_120719.jpg, https://images.ua.prom.st/1252165562_w640_h640_img_20180730_120727.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				367268992		64403			Китай				https://mastermy.kiev.ua/p367268992-amortizator-bosch-481932.html	Состояние		Новое	Вид запчасти		Амортизатор						
1.001	Амортизатор Bosch Maxx пластиковый на защелках	r	104	UAH	шт.				https://images.ua.prom.st/1252470278_w640_h640_img_20180730_173820.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				366150595		64403		Bosch	Италия				https://mastermy.kiev.ua/p366150595-amortizator-bosch-maxx.html	Состояние		Новое	Вид запчасти		Амортизатор						
